,index_x,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,index_y,Classification
35,35,176.9.40.135-192.168.43.129-444-58081-6,192.168.43.129,58081,176.9.40.135,444,6,19/08/2020 10:41:45 AM,35,BENIGN
36,36,176.9.40.135-192.168.43.129-444-58081-6,192.168.43.129,58081,176.9.40.135,444,6,19/08/2020 10:41:47 AM,36,BENIGN
37,37,192.168.43.129-69.31.136.5-58080-443-6,192.168.43.129,58080,69.31.136.5,443,6,19/08/2020 10:41:45 AM,37,BENIGN
38,38,176.9.40.135-192.168.43.129-444-58051-6,176.9.40.135,444,192.168.43.129,58051,6,19/08/2020 10:41:47 AM,38,BENIGN
39,39,192.168.43.129-69.31.136.5-58050-443-6,192.168.43.129,58050,69.31.136.5,443,6,19/08/2020 10:41:47 AM,39,BENIGN
40,40,176.9.40.135-192.168.43.129-444-58087-6,192.168.43.129,58087,176.9.40.135,444,6,19/08/2020 10:41:47 AM,40,BENIGN
41,41,159.224.33.55-192.168.43.129-20000-58085-6,192.168.43.129,58085,159.224.33.55,20000,6,19/08/2020 10:41:47 AM,41,BENIGN
42,42,159.224.33.55-192.168.43.129-20000-58085-6,159.224.33.55,20000,192.168.43.129,58085,6,19/08/2020 10:41:48 AM,42,BENIGN
43,43,176.9.40.135-192.168.43.129-444-58086-6,192.168.43.129,58086,176.9.40.135,444,6,19/08/2020 10:41:47 AM,43,BENIGN
44,44,192.168.43.129-69.31.136.5-58084-443-6,192.168.43.129,58084,69.31.136.5,443,6,19/08/2020 10:41:47 AM,44,BENIGN
45,45,151.139.128.8-192.168.43.129-443-58003-6,192.168.43.129,58003,151.139.128.8,443,6,19/08/2020 10:41:44 AM,45,BENIGN
46,46,192.168.43.129-104.17.79.107-58005-443-6,192.168.43.129,58005,104.17.79.107,443,6,19/08/2020 10:41:51 AM,46,BENIGN
47,47,176.9.40.135-192.168.43.129-444-58089-6,192.168.43.129,58089,176.9.40.135,444,6,19/08/2020 10:41:48 AM,47,BENIGN
48,48,192.168.43.129-69.31.136.5-58088-443-6,192.168.43.129,58088,69.31.136.5,443,6,19/08/2020 10:41:48 AM,48,BENIGN
49,49,176.9.40.135-192.168.43.129-444-58095-6,192.168.43.129,58095,176.9.40.135,444,6,19/08/2020 10:41:53 AM,49,BENIGN
50,50,192.168.43.129-104.16.219.98-58094-443-6,192.168.43.129,58094,104.16.219.98,443,6,19/08/2020 10:41:53 AM,50,BENIGN
51,51,176.9.40.135-192.168.43.129-444-58099-6,192.168.43.129,58099,176.9.40.135,444,6,19/08/2020 10:41:54 AM,51,BENIGN
52,52,176.9.40.135-192.168.43.129-444-58099-6,192.168.43.129,58099,176.9.40.135,444,6,19/08/2020 10:41:55 AM,52,BENIGN
53,53,192.168.43.129-65.60.62.74-58098-80-6,192.168.43.129,58098,65.60.62.74,80,6,19/08/2020 10:41:54 AM,53,BENIGN
54,54,192.168.43.129-65.60.62.74-58098-80-6,65.60.62.74,80,192.168.43.129,58098,6,19/08/2020 10:41:55 AM,54,BENIGN
55,55,176.9.40.135-192.168.43.129-444-58093-6,192.168.43.129,58093,176.9.40.135,444,6,19/08/2020 10:41:52 AM,55,BENIGN
56,56,176.9.40.135-192.168.43.129-444-58093-6,192.168.43.129,58093,176.9.40.135,444,6,19/08/2020 10:41:56 AM,56,BENIGN
57,57,157.240.2.174-192.168.43.129-443-58092-6,192.168.43.129,58092,157.240.2.174,443,6,19/08/2020 10:41:52 AM,57,BENIGN
58,58,157.240.2.174-192.168.43.129-443-58092-6,157.240.2.174,443,192.168.43.129,58092,6,19/08/2020 10:41:56 AM,58,BENIGN
59,59,176.9.40.135-192.168.43.129-444-58097-6,192.168.43.129,58097,176.9.40.135,444,6,19/08/2020 10:41:54 AM,59,BENIGN
60,60,176.9.40.135-192.168.43.129-444-58097-6,192.168.43.129,58097,176.9.40.135,444,6,19/08/2020 10:41:56 AM,60,BENIGN
61,61,192.168.43.129-34.98.91.248-58096-443-6,192.168.43.129,58096,34.98.91.248,443,6,19/08/2020 10:41:54 AM,61,BENIGN
62,62,192.168.43.129-52.70.92.19-58102-80-6,192.168.43.129,58102,52.70.92.19,80,6,19/08/2020 10:41:58 AM,62,BENIGN
63,63,176.9.40.135-192.168.43.129-444-58103-6,192.168.43.129,58103,176.9.40.135,444,6,19/08/2020 10:41:58 AM,63,BENIGN
64,64,192.168.43.129-52.70.92.19-58102-80-6,192.168.43.129,58102,52.70.92.19,80,6,19/08/2020 10:41:59 AM,64,BENIGN
65,65,176.9.40.135-192.168.43.129-444-58103-6,176.9.40.135,444,192.168.43.129,58103,6,19/08/2020 10:41:59 AM,65,BENIGN
66,66,176.9.40.135-192.168.43.129-444-58101-6,192.168.43.129,58101,176.9.40.135,444,6,19/08/2020 10:41:57 AM,66,BENIGN
67,67,192.168.43.129-74.122.190.83-58100-443-6,192.168.43.129,58100,74.122.190.83,443,6,19/08/2020 10:41:57 AM,67,BENIGN
68,68,192.168.43.129-74.122.190.83-58100-443-6,74.122.190.83,443,192.168.43.129,58100,6,19/08/2020 10:42:00 AM,68,BENIGN
69,69,176.9.40.135-192.168.43.129-444-58106-6,192.168.43.129,58106,176.9.40.135,444,6,19/08/2020 10:42:00 AM,69,BENIGN
70,70,176.9.40.135-192.168.43.129-444-58106-6,192.168.43.129,58106,176.9.40.135,444,6,19/08/2020 10:42:02 AM,70,BENIGN
71,71,192.168.43.129-64.233.184.108-58105-993-6,192.168.43.129,58105,64.233.184.108,993,6,19/08/2020 10:42:00 AM,71,BENIGN
72,72,176.9.40.135-192.168.43.129-444-58107-6,192.168.43.129,58107,176.9.40.135,444,6,19/08/2020 10:42:00 AM,72,BENIGN
73,73,192.168.43.129-74.122.190.78-58104-443-6,192.168.43.129,58104,74.122.190.78,443,6,19/08/2020 10:42:00 AM,73,BENIGN
74,74,192.168.43.129-74.122.190.78-58104-443-6,74.122.190.78,443,192.168.43.129,58104,6,19/08/2020 10:42:02 AM,74,BENIGN
75,75,176.9.40.135-192.168.43.129-444-58110-6,192.168.43.129,58110,176.9.40.135,444,6,19/08/2020 10:42:08 AM,75,BENIGN
76,76,176.9.40.135-192.168.43.129-444-58110-6,192.168.43.129,58110,176.9.40.135,444,6,19/08/2020 10:42:10 AM,76,BENIGN
77,77,192.168.43.129-46.28.207.158-58109-443-6,192.168.43.129,58109,46.28.207.158,443,6,19/08/2020 10:42:08 AM,77,BENIGN
78,78,192.168.43.129-46.28.207.158-58109-443-6,46.28.207.158,443,192.168.43.129,58109,6,19/08/2020 10:42:10 AM,78,BENIGN
79,79,176.9.40.135-192.168.43.129-444-58112-6,192.168.43.129,58112,176.9.40.135,444,6,19/08/2020 10:42:12 AM,79,BENIGN
80,80,176.9.40.135-192.168.43.129-444-58112-6,192.168.43.129,58112,176.9.40.135,444,6,19/08/2020 10:42:15 AM,80,BENIGN
81,81,172.67.69.23-192.168.43.129-443-58111-6,192.168.43.129,58111,172.67.69.23,443,6,19/08/2020 10:42:12 AM,81,BENIGN
82,82,172.67.69.23-192.168.43.129-443-58111-6,172.67.69.23,443,192.168.43.129,58111,6,19/08/2020 10:42:15 AM,82,BENIGN
83,83,176.9.40.135-192.168.43.129-444-58114-6,192.168.43.129,58114,176.9.40.135,444,6,19/08/2020 10:42:14 AM,83,BENIGN
84,84,176.9.40.135-192.168.43.129-444-58114-6,192.168.43.129,58114,176.9.40.135,444,6,19/08/2020 10:42:15 AM,84,BENIGN
85,85,192.168.43.129-107.6.177.186-58113-80-6,192.168.43.129,58113,107.6.177.186,80,6,19/08/2020 10:42:14 AM,85,BENIGN
86,86,192.168.43.129-107.6.177.186-58113-80-6,107.6.177.186,80,192.168.43.129,58113,6,19/08/2020 10:42:15 AM,86,BENIGN
87,87,176.9.40.135-192.168.43.129-444-58116-6,192.168.43.129,58116,176.9.40.135,444,6,19/08/2020 10:42:16 AM,87,BENIGN
88,88,176.9.40.135-192.168.43.129-444-58116-6,192.168.43.129,58116,176.9.40.135,444,6,19/08/2020 10:42:18 AM,88,BENIGN
89,89,192.168.43.129-87.240.137.207-58115-443-6,192.168.43.129,58115,87.240.137.207,443,6,19/08/2020 10:42:16 AM,89,BENIGN
90,90,192.168.43.129-87.240.137.207-58115-443-6,87.240.137.207,443,192.168.43.129,58115,6,19/08/2020 10:42:18 AM,90,BENIGN
91,91,176.9.40.135-192.168.43.129-444-58083-6,192.168.43.129,58083,176.9.40.135,444,6,19/08/2020 10:41:47 AM,91,BENIGN
92,92,192.168.43.129-104.18.10.161-58082-443-6,192.168.43.129,58082,104.18.10.161,443,6,19/08/2020 10:41:47 AM,92,BENIGN
93,93,191.232.245.3-192.168.43.129-443-58119-6,192.168.43.129,58119,191.232.245.3,443,6,19/08/2020 10:42:19 AM,93,BENIGN
94,94,191.232.245.3-192.168.43.129-443-58119-6,192.168.43.129,58119,191.232.245.3,443,6,19/08/2020 10:42:20 AM,94,BENIGN
95,95,172.227.98.69-192.168.43.129-80-58120-6,192.168.43.129,58120,172.227.98.69,80,6,19/08/2020 10:42:21 AM,95,DoS slowloris
96,96,176.9.40.135-192.168.43.129-444-58121-6,192.168.43.129,58121,176.9.40.135,444,6,19/08/2020 10:42:21 AM,96,BENIGN
97,97,172.227.98.69-192.168.43.129-80-58120-6,192.168.43.129,58120,172.227.98.69,80,6,19/08/2020 10:42:22 AM,97,BENIGN
98,98,176.9.40.135-192.168.43.129-444-58121-6,176.9.40.135,444,192.168.43.129,58121,6,19/08/2020 10:42:22 AM,98,BENIGN
99,99,176.9.40.135-192.168.43.129-444-58123-6,192.168.43.129,58123,176.9.40.135,444,6,19/08/2020 10:42:26 AM,99,BENIGN
100,100,176.9.40.135-192.168.43.129-444-58123-6,192.168.43.129,58123,176.9.40.135,444,6,19/08/2020 10:42:28 AM,100,BENIGN
101,101,192.168.43.129-99.181.79.2-58122-443-6,192.168.43.129,58122,99.181.79.2,443,6,19/08/2020 10:42:26 AM,101,BENIGN
102,102,192.168.43.129-99.181.79.2-58122-443-6,99.181.79.2,443,192.168.43.129,58122,6,19/08/2020 10:42:28 AM,102,BENIGN
103,103,176.9.40.135-192.168.43.129-444-58125-6,192.168.43.129,58125,176.9.40.135,444,6,19/08/2020 10:42:27 AM,103,BENIGN
104,104,192.168.43.129-34.98.91.248-58124-443-6,192.168.43.129,58124,34.98.91.248,443,6,19/08/2020 10:42:27 AM,104,BENIGN
105,105,176.9.40.135-192.168.43.129-444-58130-6,192.168.43.129,58130,176.9.40.135,444,6,19/08/2020 10:42:28 AM,105,BENIGN
106,106,176.9.40.135-192.168.43.129-444-58130-6,192.168.43.129,58130,176.9.40.135,444,6,19/08/2020 10:42:30 AM,106,BENIGN
107,107,192.168.43.129-3.217.207.251-58129-443-6,192.168.43.129,58129,3.217.207.251,443,6,19/08/2020 10:42:28 AM,107,BENIGN
108,108,176.9.40.135-192.168.43.129-444-58132-6,192.168.43.129,58132,176.9.40.135,444,6,19/08/2020 10:42:30 AM,108,BENIGN
109,109,176.9.40.135-192.168.43.129-444-58132-6,192.168.43.129,58132,176.9.40.135,444,6,19/08/2020 10:42:32 AM,109,BENIGN
110,110,192.168.43.129-3.217.207.251-58131-443-6,192.168.43.129,58131,3.217.207.251,443,6,19/08/2020 10:42:30 AM,110,BENIGN
111,111,176.9.40.135-192.168.43.129-444-58134-6,192.168.43.129,58134,176.9.40.135,444,6,19/08/2020 10:42:31 AM,111,BENIGN
112,112,176.9.40.135-192.168.43.129-444-58134-6,192.168.43.129,58134,176.9.40.135,444,6,19/08/2020 10:42:32 AM,112,BENIGN
113,113,184.31.88.85-192.168.43.129-443-58133-6,192.168.43.129,58133,184.31.88.85,443,6,19/08/2020 10:42:31 AM,113,BENIGN
114,114,192.168.43.129-3.217.207.251-58131-443-6,3.217.207.251,443,192.168.43.129,58131,6,19/08/2020 10:42:32 AM,114,DoS Hulk
115,115,184.31.88.85-192.168.43.129-443-58133-6,184.31.88.85,443,192.168.43.129,58133,6,19/08/2020 10:42:33 AM,115,BENIGN
116,116,192.168.43.129-193.56.28.226-58141-80-6,192.168.43.129,58141,193.56.28.226,80,6,19/08/2020 10:42:34 AM,116,BENIGN
117,117,176.9.40.135-192.168.43.129-444-58136-6,192.168.43.129,58136,176.9.40.135,444,6,19/08/2020 10:42:33 AM,117,BENIGN
118,118,176.9.40.135-192.168.43.129-444-58136-6,192.168.43.129,58136,176.9.40.135,444,6,19/08/2020 10:42:35 AM,118,BENIGN
119,119,192.168.43.129-3.217.207.251-58135-443-6,192.168.43.129,58135,3.217.207.251,443,6,19/08/2020 10:42:33 AM,119,BENIGN
120,120,176.9.40.135-192.168.43.129-444-58140-6,192.168.43.129,58140,176.9.40.135,444,6,19/08/2020 10:42:34 AM,120,BENIGN
121,121,176.9.40.135-192.168.43.129-444-58140-6,192.168.43.129,58140,176.9.40.135,444,6,19/08/2020 10:42:36 AM,121,BENIGN
122,122,157.240.203.63-192.168.43.129-443-58139-6,192.168.43.129,58139,157.240.203.63,443,6,19/08/2020 10:42:33 AM,122,BENIGN
123,123,157.240.203.63-192.168.43.129-443-58139-6,157.240.203.63,443,192.168.43.129,58139,6,19/08/2020 10:42:36 AM,123,BENIGN
124,124,176.9.40.135-192.168.43.129-444-58144-6,192.168.43.129,58144,176.9.40.135,444,6,19/08/2020 10:42:35 AM,124,BENIGN
125,125,176.9.40.135-192.168.43.129-444-58144-6,192.168.43.129,58144,176.9.40.135,444,6,19/08/2020 10:42:37 AM,125,BENIGN
126,126,192.168.43.129-3.217.207.251-58143-443-6,192.168.43.129,58143,3.217.207.251,443,6,19/08/2020 10:42:35 AM,126,BENIGN
127,127,176.9.40.135-192.168.43.129-444-58146-6,192.168.43.129,58146,176.9.40.135,444,6,19/08/2020 10:42:38 AM,127,BENIGN
128,128,176.9.40.135-192.168.43.129-444-58146-6,192.168.43.129,58146,176.9.40.135,444,6,19/08/2020 10:42:40 AM,128,BENIGN
129,129,192.168.43.129-3.217.207.251-58145-443-6,192.168.43.129,58145,3.217.207.251,443,6,19/08/2020 10:42:37 AM,129,BENIGN
130,130,192.168.43.129-3.217.207.251-58145-443-6,3.217.207.251,443,192.168.43.129,58145,6,19/08/2020 10:42:40 AM,130,DoS Hulk
131,131,176.9.40.135-192.168.43.129-444-58148-6,192.168.43.129,58148,176.9.40.135,444,6,19/08/2020 10:42:39 AM,131,BENIGN
132,132,176.9.40.135-192.168.43.129-444-58148-6,192.168.43.129,58148,176.9.40.135,444,6,19/08/2020 10:42:42 AM,132,BENIGN
133,133,172.67.6.49-192.168.43.129-443-58147-6,192.168.43.129,58147,172.67.6.49,443,6,19/08/2020 10:42:39 AM,133,BENIGN
134,134,172.67.6.49-192.168.43.129-443-58147-6,172.67.6.49,443,192.168.43.129,58147,6,19/08/2020 10:42:42 AM,134,BENIGN
135,135,176.9.40.135-192.168.43.129-444-58150-6,192.168.43.129,58150,176.9.40.135,444,6,19/08/2020 10:42:40 AM,135,BENIGN
136,136,192.168.43.129-34.98.91.248-58149-443-6,192.168.43.129,58149,34.98.91.248,443,6,19/08/2020 10:42:40 AM,136,BENIGN
137,137,176.9.40.135-192.168.43.129-444-58152-6,192.168.43.129,58152,176.9.40.135,444,6,19/08/2020 10:42:40 AM,137,BENIGN
138,138,176.9.40.135-192.168.43.129-444-58152-6,192.168.43.129,58152,176.9.40.135,444,6,19/08/2020 10:42:42 AM,138,BENIGN
139,139,192.168.43.129-3.217.207.251-58151-443-6,192.168.43.129,58151,3.217.207.251,443,6,19/08/2020 10:42:40 AM,139,BENIGN
140,140,172.67.6.49-192.168.43.129-443-58147-6,172.67.6.49,443,192.168.43.129,58147,6,19/08/2020 10:42:42 AM,140,BENIGN
141,141,192.168.43.129-3.217.207.251-58151-443-6,3.217.207.251,443,192.168.43.129,58151,6,19/08/2020 10:42:42 AM,141,BENIGN
142,142,192.168.43.129-40.90.22.188-58012-443-6,192.168.43.129,58012,40.90.22.188,443,6,19/08/2020 10:42:42 AM,142,BENIGN
143,143,176.9.40.135-192.168.43.129-444-58156-6,192.168.43.129,58156,176.9.40.135,444,6,19/08/2020 10:42:42 AM,143,BENIGN
144,144,176.9.40.135-192.168.43.129-444-58156-6,192.168.43.129,58156,176.9.40.135,444,6,19/08/2020 10:42:44 AM,144,BENIGN
145,145,192.168.43.129-3.217.207.251-58155-443-6,192.168.43.129,58155,3.217.207.251,443,6,19/08/2020 10:42:42 AM,145,BENIGN
146,146,176.9.40.135-192.168.43.129-444-58158-6,192.168.43.129,58158,176.9.40.135,444,6,19/08/2020 10:42:44 AM,146,BENIGN
147,147,176.9.40.135-192.168.43.129-444-58158-6,192.168.43.129,58158,176.9.40.135,444,6,19/08/2020 10:42:47 AM,147,BENIGN
148,148,192.168.43.129-23.160.0.107-58157-443-6,192.168.43.129,58157,23.160.0.107,443,6,19/08/2020 10:42:44 AM,148,BENIGN
149,150,192.168.43.129-40.77.226.250-58163-443-6,192.168.43.129,58163,40.77.226.250,443,6,19/08/2020 10:42:47 AM,149,BENIGN
150,151,192.168.43.129-40.77.226.250-58163-443-6,192.168.43.129,58163,40.77.226.250,443,6,19/08/2020 10:42:47 AM,150,BENIGN
151,152,192.168.43.129-40.77.226.250-58166-443-6,192.168.43.129,58166,40.77.226.250,443,6,19/08/2020 10:42:48 AM,151,BENIGN
152,153,192.168.43.129-40.77.226.250-58166-443-6,192.168.43.129,58166,40.77.226.250,443,6,19/08/2020 10:42:48 AM,152,BENIGN
153,154,176.9.40.135-192.168.43.129-444-58154-6,192.168.43.129,58154,176.9.40.135,444,6,19/08/2020 10:42:42 AM,153,BENIGN
154,155,176.9.40.135-192.168.43.129-444-58154-6,192.168.43.129,58154,176.9.40.135,444,6,19/08/2020 10:42:48 AM,154,BENIGN
155,156,192.168.43.129-94.188.236.9-58153-443-6,192.168.43.129,58153,94.188.236.9,443,6,19/08/2020 10:42:41 AM,155,BENIGN
156,157,176.9.40.135-192.168.43.129-444-58162-6,192.168.43.129,58162,176.9.40.135,444,6,19/08/2020 10:42:47 AM,156,BENIGN
157,158,176.9.40.135-192.168.43.129-444-58162-6,192.168.43.129,58162,176.9.40.135,444,6,19/08/2020 10:42:49 AM,157,BENIGN
158,159,192.168.43.129-87.240.129.135-58161-443-6,192.168.43.129,58161,87.240.129.135,443,6,19/08/2020 10:42:47 AM,158,BENIGN
159,160,192.168.43.129-94.188.236.9-58153-443-6,94.188.236.9,443,192.168.43.129,58153,6,19/08/2020 10:42:49 AM,159,BENIGN
160,161,176.9.40.135-192.168.43.129-444-58165-6,192.168.43.129,58165,176.9.40.135,444,6,19/08/2020 10:42:47 AM,160,BENIGN
161,162,159.153.191.239-192.168.43.129-443-58164-6,192.168.43.129,58164,159.153.191.239,443,6,19/08/2020 10:42:47 AM,161,BENIGN
162,163,185.71.67.88-192.168.43.129-443-58040-6,185.71.67.88,443,192.168.43.129,58040,6,19/08/2020 10:41:30 AM,162,BENIGN
163,164,176.9.40.135-192.168.43.129-444-58041-6,192.168.43.129,58041,176.9.40.135,444,6,19/08/2020 10:41:30 AM,163,BENIGN
164,165,185.71.67.88-192.168.43.129-443-58040-6,192.168.43.129,58040,185.71.67.88,443,6,19/08/2020 10:42:51 AM,164,BENIGN
165,166,176.9.40.135-192.168.43.129-444-58041-6,176.9.40.135,444,192.168.43.129,58041,6,19/08/2020 10:42:51 AM,165,BENIGN
166,167,176.9.40.135-192.168.43.129-444-58168-6,192.168.43.129,58168,176.9.40.135,444,6,19/08/2020 10:42:49 AM,166,BENIGN
167,168,159.153.191.239-192.168.43.129-443-58167-6,192.168.43.129,58167,159.153.191.239,443,6,19/08/2020 10:42:49 AM,167,BENIGN
168,169,151.139.128.8-192.168.43.129-443-58091-6,192.168.43.129,58091,151.139.128.8,443,6,19/08/2020 10:41:51 AM,168,BENIGN
169,170,176.9.40.135-192.168.43.129-444-58170-6,192.168.43.129,58170,176.9.40.135,444,6,19/08/2020 10:42:50 AM,169,BENIGN
170,171,176.9.40.135-192.168.43.129-444-58170-6,192.168.43.129,58170,176.9.40.135,444,6,19/08/2020 10:42:52 AM,170,BENIGN
171,172,192.168.43.129-52.223.198.2-58169-443-6,192.168.43.129,58169,52.223.198.2,443,6,19/08/2020 10:42:50 AM,171,BENIGN
172,173,176.9.40.135-192.168.43.129-444-58172-6,192.168.43.129,58172,176.9.40.135,444,6,19/08/2020 10:42:50 AM,172,BENIGN
173,174,192.168.43.129-34.107.165.220-58171-443-6,192.168.43.129,58171,34.107.165.220,443,6,19/08/2020 10:42:50 AM,173,BENIGN
174,175,192.168.43.129-52.223.198.2-58169-443-6,52.223.198.2,443,192.168.43.129,58169,6,19/08/2020 10:42:52 AM,174,BENIGN
175,176,176.9.40.135-192.168.43.129-444-58176-6,192.168.43.129,58176,176.9.40.135,444,6,19/08/2020 10:42:51 AM,175,BENIGN
176,177,159.153.191.239-192.168.43.129-443-58175-6,192.168.43.129,58175,159.153.191.239,443,6,19/08/2020 10:42:51 AM,176,BENIGN
177,178,176.9.40.135-192.168.43.129-444-58142-6,192.168.43.129,58142,176.9.40.135,444,6,19/08/2020 10:42:34 AM,177,BENIGN
178,179,192.168.43.129-193.56.28.226-58141-80-6,192.168.43.129,58141,193.56.28.226,80,6,19/08/2020 10:42:35 AM,178,BENIGN
179,180,176.9.40.135-192.168.43.129-444-58184-6,192.168.43.129,58184,176.9.40.135,444,6,19/08/2020 10:42:54 AM,179,BENIGN
180,181,192.168.43.129-69.31.136.5-58183-443-6,192.168.43.129,58183,69.31.136.5,443,6,19/08/2020 10:42:54 AM,180,BENIGN
181,182,176.9.40.135-192.168.43.129-444-58182-6,192.168.43.129,58182,176.9.40.135,444,6,19/08/2020 10:42:54 AM,181,BENIGN
182,183,176.9.40.135-192.168.43.129-444-58182-6,192.168.43.129,58182,176.9.40.135,444,6,19/08/2020 10:42:55 AM,182,BENIGN
183,184,159.153.191.239-192.168.43.129-443-58180-6,192.168.43.129,58180,159.153.191.239,443,6,19/08/2020 10:42:53 AM,183,BENIGN
184,185,176.9.40.135-192.168.43.129-444-58160-6,192.168.43.129,58160,176.9.40.135,444,6,19/08/2020 10:42:46 AM,184,BENIGN
185,186,176.9.40.135-192.168.43.129-444-58160-6,192.168.43.129,58160,176.9.40.135,444,6,19/08/2020 10:42:56 AM,185,BENIGN
186,187,192.168.43.129-212.55.154.47-58159-993-6,192.168.43.129,58159,212.55.154.47,993,6,19/08/2020 10:42:46 AM,186,BENIGN
